"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SMD_Packages:SSOP20";1;"PIC18F13K22";;;
2;"Q2,Q1";"SMD_Packages:SOT23";2;"Biased_NPN";;;
3;"C1";"Capacitors:CP_8x13mm";1;"470u";;;
4;"U3,U2";"SMD_Packages:SO8E";2;"LM317_SOT223";;;
5;"P1";"Pin_Headers:Pin_Header_Straight_1x04";1;"DPR";;;
6;"D5";"LEDs:LED-3MM";1;"LED";;;
7;"P2";"Pin_Headers:Pin_Header_Straight_1x02";1;"HL";;;
8;"P3";"Pin_Headers:Pin_Header_Straight_1x02";1;"BL";;;
9;"Q3";"SMD_Packages:SO8E";1;"Dual_NP_MOSFET";;;
10;"P4";"Pin_Headers:Pin_Header_Straight_1x04";1;"SERIAL";;;
11;"P5";"Pin_Headers:Pin_Header_Straight_1x04";1;"I2C";;;
12;"C3,C4";"SMD_Packages:SM0805";2;"100n";;;
13;"R1,R10,R11";"SMD_Packages:SM0805";3;"2k2";;;
14;"R3,R4,R5";"SMD_Packages:SM0805";3;"150";;;
15;"R6";"SMD_Packages:SM0805";1;"750";;;
16;"R7,R13";"SMD_Packages:SM0805";2;"240";;;
17;"R8,R9";"SMD_Packages:SM0805";2;"33k";;;
18;"R12";"SMD_Packages:SM0805";1;"390";;;
19;"D1,D2,D3,D4";"Diodes_SMD:Diode-SMA_Handsoldering";4;"DIODESCH";;;
20;"C2,C5";"SMD_Packages:SM0805";2;"4u7";;;
21;"P6";"Pin_Headers:Pin_Header_Straight_1x05";1;"ICSP";;;
